kshnoa2	kshnma2	sdtcda2	seqnoa2	stnnoa2	stnnma2	buinoa2	buinma2	blttpa2	jikcna2	tistda2	tilowa2	tiuppa2	tolmda2	tolida2	tolsna2	unitta2	picfla2	bhnsna2	bhnifa2	sttcda2	sstdta2	ssttma2	estdta2	esttma2
003	20kVA	20230110085000	3	工程3	ジャンパー	008	ジャンパー　5k～100k	真鍮ナットM5	2	120	90	150	STC400CN2-BT	1	000001A	cN･m	008_ジャンパー.png			2	2023/1/10	08:54:00	2023/1/10	08:55:00
003	20kVA	20230110085000	4	工程3.5	ダボ締め	011	タンキング固定 20k	鉄六角M12	2	44.1	34.3	53.9	CSPFDD200N3X19D	17	000017A	N･m	011_タンキング固定 20k.png			2	2023/1/10	08:56:00	2023/1/10	08:57:00
004	30kVA	20230110090000	1	工程2	碍盤配線・固定	006	碍盤配線　20k以上	真鍮ナットM5	6	290	230	350	STC400CN2-BT	1	000001A	cN･m	005-007_碍盤配線固定.png			2	2023/1/10	09:00:00	2023/1/10	09:01:00
004	30kVA	20230110090000	2	工程2	碍盤配線・固定	007	碍盤配固定　5k～100k	鉄ナベM6	2	490	390	590	CSPFDD25N3-10NX10D	30	000030A	N･m	005-007_碍盤配線固定.png			2	2023/1/10	09:02:00	2023/1/10	09:03:00
004	30kVA	20230110090000	3	工程3	ジャンパー	008	ジャンパー　5k～100k	真鍮ナットM5	2	120	90	150	STC400CN2-BT	1	000001A	cN･m	008_ジャンパー.png			2	2023/1/10	09:04:00	2023/1/10	09:05:00
004	30kVA	20230110090000	4	工程3.5	ダボ締め	012	タンキング固定 30k	鉄六角M12	2	44.1	34.3	53.9	CSPFDD200N3X19D	17	000017A	N･m	012_タンキング固定 30k.png			2	2023/1/10	09:06:00	2023/1/10	09:07:00
005	50kVA	20230110091000	1	工程2	碍盤配線・固定	006	碍盤配線　20k以上	真鍮ナットM5	6	290	230	350	STC400CN2-BT	1	000001A	cN･m	005-007_碍盤配線固定.png			2	2023/1/10	09:10:00	2023/1/10	09:11:00
005	50kVA	20230110091000	2	工程2	碍盤配線・固定	007	碍盤配固定　5k～100k	鉄ナベM6	2	490	390	590	CSPFDD25N3-10NX10D	30	000030A	N･m	005-007_碍盤配線固定.png			2	2023/1/10	09:12:00	2023/1/10	09:13:00
005	50kVA	20230110091000	3	工程3	ジャンパー	008	ジャンパー　5k～100k	真鍮ナットM5	2	120	90	150	STC400CN2-BT	1	000001A	cN･m	008_ジャンパー.png			2	2023/1/10	09:14:00	2023/1/10	09:15:00
005	50kVA	20230110091000	4	工程3.5	ダボ締め	013	タンキング固定 50k	鉄六角M12	2	44.1	34.3	53.9	CSPFDD200N3X19D	17	000017A	N･m	013_タンキング固定 50k.png			2	2023/1/10	09:16:00	2023/1/10	09:17:00
006	75kVA	20230110092000	1	工程2	碍盤配線・固定	006	碍盤配線　20k以上	真鍮ナットM5	6	290	230	350	STC400CN2-BT	1	000001A	cN･m	005-007_碍盤配線固定.png			2	2023/1/10	09:20:00	2023/1/10	09:21:00
006	75kVA	20230110092000	2	工程2	碍盤配線・固定	007	碍盤配固定　5k～100k	鉄ナベM6	2	490	390	590	CSPFDD25N3-10NX10D	30	000030A	N･m	005-007_碍盤配線固定.png			2	2023/1/10	09:22:00	2023/1/10	09:23:00
006	75kVA	20230110092000	3	工程3	ジャンパー	008	ジャンパー　5k～100k	真鍮ナットM5	2	120	90	150	STC400CN2-BT	1	000001A	cN･m	008_ジャンパー.png			2	2023/1/10	09:24:00	2023/1/10	09:25:00
006	75kVA	20230110092000	4	工程3.5	ダボ締め	014	タンキング固定 75k	鉄六角M12	2	44.1	34.3	53.9	CSPFDD200N3X19D	17	000017A	N･m	014_タンキング固定 75k.png			2	2023/1/10	09:26:00	2023/1/10	09:27:00
007	100kVA	20230110093000	1	工程2	碍盤配線・固定	006	碍盤配線　20k以上	真鍮ナットM5	6	290	230	350	STC400CN2-BT	1	000001A	cN･m	005-007_碍盤配線固定.png			2	2023/1/10	09:30:00	2023/1/10	09:31:00
007	100kVA	20230110093000	2	工程2	碍盤配線・固定	007	碍盤配固定　5k～100k	鉄ナベM6	2	490	390	590	CSPFDD25N3-10NX10D	30	000030A	N･m	005-007_碍盤配線固定.png			2	2023/1/10	09:32:00	2023/1/10	09:33:00
007	100kVA	20230110093000	3	工程3	ジャンパー	008	ジャンパー　5k～100k	真鍮ナットM5	2	120	90	150	STC400CN2-BT	1	000001A	cN･m	008_ジャンパー.png			2	2023/1/10	09:34:00	2023/1/10	09:35:00
007	100kVA	20230110093000	4	工程3.5	ダボ締め	015	タンキング固定 100k	鉄六角M12	2	44.1	34.3	53.9	CSPFDD200N3X19D	17	000017A	N･m	015_タンキング固定 100k.png			2	2023/1/10	09:36:00	2023/1/10	09:37:00
008	制5kVA	20230110094000	2	工程2	碍盤配線・固定	003	碍盤配線　制5k・制8.4k	真鍮ナットM5	2	200	160	240	STC400CN2-BT	1	000001A	cN･m	003-004_碍盤配線固定.png			2	2023/1/10	09:40:00	2023/1/10	09:41:00
008	制5kVA	20230110094000	3	工程2	碍盤配線・固定	004	碍盤配固定　制5k・制8.4k	鉄ナベM6	1	490	390	590	CSPFDD25N3-10NX10D	30	000030A	N･m	003-004_碍盤配線固定.png			2	2023/1/10	09:42:00	2023/1/10	09:43:00
008	制5kVA	20230110094000	4	工程3.5	ダボ締め	009	タンキング固定 5k	鉄六角M12	2	44.1	34.3	53.9	CSPFDD200N3X19D	17	000017A	N･m	009_タンキング固定 5k.png			2	2023/1/10	09:44:00	2023/1/10	09:45:00
009	制8.4kVA	20230110095000	2	工程2	碍盤配線・固定	003	碍盤配線　制5k・制8.4k	真鍮ナットM5	2	200	160	240	STC400CN2-BT	1	000001A	cN･m	003-004_碍盤配線固定.png			2	2023/1/10	09:50:00	2023/1/10	09:51:00
009	制8.4kVA	20230110095000	3	工程2	碍盤配線・固定	004	碍盤配固定　制5k・制8.4k	鉄ナベM6	1	490	390	590	CSPFDD25N3-10NX10D	30	000030A	N･m	003-004_碍盤配線固定.png			2	2023/1/10	09:52:00	2023/1/10	09:53:00
009	制8.4kVA	20230110095000	4	工程3.5	ダボ締め	017	タンキング固定 制8.4k	鉄六角M12	2	44.1	34.3	53.9	CSPFDD200N3X19D	17	000017A	N･m	017_タンキング固定 制8.4k.png			2	2023/1/10	09:54:00	2023/1/10	09:55:00
