kshnod3	kshnmd3	sernod3	seqnod3	stnnod3	stnnmd3	buinod3	buinmd3	jikcnd3	jiknod3	mevald3	jgecdd3	jgenmd3	ngvald3	tolsnd3	medayd3	metimd3	wkrnod3	wkrnmd3
002	10kVA	HG0002	6	工程4	一次碍管固定・接続/二次碍管固定・接続	031	二次配線　10k	3	1	11.8	1	OK		000021A	2023/1/10	08:48:00	2023/1/10	08:49:00
002	10kVA	HG0002	6	工程4	一次碍管固定・接続/二次碍管固定・接続	031	二次配線　10k	3	2	11.8	1	OK		000021A	2023/1/10	08:48:00	2023/1/10	08:49:00
002	10kVA	HG0002	6	工程4	一次碍管固定・接続/二次碍管固定・接続	031	二次配線　10k	3	3	11.8	1	OK		000021A	2023/1/10	08:48:00	2023/1/10	08:49:00
002	10kVA	HG0002	7	工程4	一次碍管固定・接続/二次碍管固定・接続	038	一次固定　10k	6	1	150	1	OK		000001A	2023/1/10	08:50:00	2023/1/10	08:51:00
002	10kVA	HG0002	7	工程4	一次碍管固定・接続/二次碍管固定・接続	038	一次固定　10k	6	2	150	1	OK		000001A	2023/1/10	08:50:00	2023/1/10	08:51:00
002	10kVA	HG0002	7	工程4	一次碍管固定・接続/二次碍管固定・接続	038	一次固定　10k	6	3	150	1	OK		000001A	2023/1/10	08:50:00	2023/1/10	08:51:00
002	10kVA	HG0002	7	工程4	一次碍管固定・接続/二次碍管固定・接続	038	一次固定　10k	6	4	150	1	OK		000001A	2023/1/10	08:50:00	2023/1/10	08:51:00
002	10kVA	HG0002	7	工程4	一次碍管固定・接続/二次碍管固定・接続	038	一次固定　10k	6	5	150	1	OK		000001A	2023/1/10	08:50:00	2023/1/10	08:51:00
002	10kVA	HG0002	7	工程4	一次碍管固定・接続/二次碍管固定・接続	038	一次固定　10k	6	6	150	1	OK		000001A	2023/1/10	08:50:00	2023/1/10	08:51:00
002	10kVA	HG0002	8	工程4	一次碍管固定・接続/二次碍管固定・接続	047	一次配線　10k	2	1	150	1	OK		000001A	2023/1/10	08:52:00	2023/1/10	08:53:00
002	10kVA	HG0002	8	工程4	一次碍管固定・接続/二次碍管固定・接続	047	一次配線　10k	2	2	150	1	OK		000001A	2023/1/10	08:52:00	2023/1/10	08:53:00
002	10kVA	HG0002	9	工程5	注油後カバー締め	056	注油後カバー締め　5k～30k	3	1	41.7	1	OK		000027A	2023/1/10	08:54:00	2023/1/10	08:55:00
002	10kVA	HG0002	9	工程5	注油後カバー締め	056	注油後カバー締め　5k～30k	3	2	41.7	1	OK		000027A	2023/1/10	08:54:00	2023/1/10	08:55:00
002	10kVA	HG0002	9	工程5	注油後カバー締め	056	注油後カバー締め　5k～30k	3	3	41.7	1	OK		000027A	2023/1/10	08:54:00	2023/1/10	08:55:00
002	10kVA	HG0002	10	工程6	出荷前カバー締め	059	出荷前カバー締め確認　5k～30k	3	1	41.7	1	OK		000027A	2023/1/10	08:56:00	2023/1/10	08:57:00
002	10kVA	HG0002	10	工程6	出荷前カバー締め	059	出荷前カバー締め確認　5k～30k	3	2	41.7	1	OK		000027A	2023/1/10	08:56:00	2023/1/10	08:57:00
002	10kVA	HG0002	10	工程6	出荷前カバー締め	059	出荷前カバー締め確認　5k～30k	3	3	41.7	1	OK		000027A	2023/1/10	08:56:00	2023/1/10	08:57:00
003	20kVA	HG0003	5	工程4	一次碍管固定・接続/二次碍管固定・接続	020	二次固定　20k	9	1	220	1	OK		000001A	2023/1/10	08:58:00	2023/1/10	08:59:00
003	20kVA	HG0003	5	工程4	一次碍管固定・接続/二次碍管固定・接続	020	二次固定　20k	9	2	220	1	OK		000001A	2023/1/10	08:58:00	2023/1/10	08:59:00
003	20kVA	HG0003	5	工程4	一次碍管固定・接続/二次碍管固定・接続	020	二次固定　20k	9	3	220	1	OK		000001A	2023/1/10	08:58:00	2023/1/10	08:59:00
003	20kVA	HG0003	5	工程4	一次碍管固定・接続/二次碍管固定・接続	020	二次固定　20k	9	4	220	1	OK		000001A	2023/1/10	08:58:00	2023/1/10	08:59:00
003	20kVA	HG0003	5	工程4	一次碍管固定・接続/二次碍管固定・接続	020	二次固定　20k	9	5	220	1	OK		000001A	2023/1/10	08:58:00	2023/1/10	08:59:00
003	20kVA	HG0003	5	工程4	一次碍管固定・接続/二次碍管固定・接続	020	二次固定　20k	9	6	220	1	OK		000001A	2023/1/10	08:58:00	2023/1/10	08:59:00
003	20kVA	HG0003	5	工程4	一次碍管固定・接続/二次碍管固定・接続	020	二次固定　20k	9	7	220	1	OK		000001A	2023/1/10	08:58:00	2023/1/10	08:59:00
003	20kVA	HG0003	5	工程4	一次碍管固定・接続/二次碍管固定・接続	020	二次固定　20k	9	8	220	1	OK		000001A	2023/1/10	08:58:00	2023/1/10	08:59:00
003	20kVA	HG0003	5	工程4	一次碍管固定・接続/二次碍管固定・接続	020	二次固定　20k	9	9	220	1	OK		000001A	2023/1/10	08:58:00	2023/1/10	08:59:00
003	20kVA	HG0003	6	工程4	一次碍管固定・接続/二次碍管固定・接続	032	二次配線　20k	3	1	11.8	1	OK		000021A	2023/1/10	09:00:00	2023/1/10	09:01:00
003	20kVA	HG0003	6	工程4	一次碍管固定・接続/二次碍管固定・接続	032	二次配線　20k	3	2	11.8	1	OK		000021A	2023/1/10	09:00:00	2023/1/10	09:01:00
003	20kVA	HG0003	6	工程4	一次碍管固定・接続/二次碍管固定・接続	032	二次配線　20k	3	3	11.8	1	OK		000021A	2023/1/10	09:00:00	2023/1/10	09:01:00
003	20kVA	HG0003	7	工程4	一次碍管固定・接続/二次碍管固定・接続	039	一次固定　20k	6	1	150	1	OK		000001A	2023/1/10	09:02:00	2023/1/10	09:03:00
003	20kVA	HG0003	7	工程4	一次碍管固定・接続/二次碍管固定・接続	039	一次固定　20k	6	2	150	1	OK		000001A	2023/1/10	09:02:00	2023/1/10	09:03:00
003	20kVA	HG0003	7	工程4	一次碍管固定・接続/二次碍管固定・接続	039	一次固定　20k	6	3	150	1	OK		000001A	2023/1/10	09:02:00	2023/1/10	09:03:00
003	20kVA	HG0003	7	工程4	一次碍管固定・接続/二次碍管固定・接続	039	一次固定　20k	6	4	150	1	OK		000001A	2023/1/10	09:02:00	2023/1/10	09:03:00
003	20kVA	HG0003	7	工程4	一次碍管固定・接続/二次碍管固定・接続	039	一次固定　20k	6	5	150	1	OK		000001A	2023/1/10	09:02:00	2023/1/10	09:03:00
003	20kVA	HG0003	7	工程4	一次碍管固定・接続/二次碍管固定・接続	039	一次固定　20k	6	6	150	1	OK		000001A	2023/1/10	09:02:00	2023/1/10	09:03:00
003	20kVA	HG0003	8	工程4	一次碍管固定・接続/二次碍管固定・接続	048	一次配線　20k	2	1	150	1	OK		000001A	2023/1/10	09:04:00	2023/1/10	09:05:00
003	20kVA	HG0003	8	工程4	一次碍管固定・接続/二次碍管固定・接続	048	一次配線　20k	2	2	150	1	OK		000001A	2023/1/10	09:04:00	2023/1/10	09:05:00
003	20kVA	HG0003	9	工程5	注油後カバー締め	056	注油後カバー締め　5k～30k	3	1	41.7	1	OK		000027A	2023/1/10	09:06:00	2023/1/10	09:07:00
003	20kVA	HG0003	9	工程5	注油後カバー締め	056	注油後カバー締め　5k～30k	3	2	41.7	1	OK		000027A	2023/1/10	09:06:00	2023/1/10	09:07:00
003	20kVA	HG0003	9	工程5	注油後カバー締め	056	注油後カバー締め　5k～30k	3	3	41.7	1	OK		000027A	2023/1/10	09:06:00	2023/1/10	09:07:00
003	20kVA	HG0003	10	工程6	出荷前カバー締め	059	出荷前カバー締め確認　5k～30k	3	1	41.7	1	OK		000027A	2023/1/10	09:10:00	2023/1/10	09:11:00
003	20kVA	HG0003	10	工程6	出荷前カバー締め	059	出荷前カバー締め確認　5k～30k	3	2	41.7	1	OK		000027A	2023/1/10	09:10:00	2023/1/10	09:11:00
003	20kVA	HG0003	10	工程6	出荷前カバー締め	059	出荷前カバー締め確認　5k～30k	3	3	41.7	1	OK		000027A	2023/1/10	09:10:00	2023/1/10	09:11:00
004	30kVA	HG0004	5	工程4	一次碍管固定・接続/二次碍管固定・接続	021	二次固定　30k	9	1	220	1	OK		000001A	2023/1/10	09:08:00	2023/1/10	09:09:00
004	30kVA	HG0004	5	工程4	一次碍管固定・接続/二次碍管固定・接続	021	二次固定　30k	9	2	220	1	OK		000001A	2023/1/10	09:08:00	2023/1/10	09:09:00
004	30kVA	HG0004	5	工程4	一次碍管固定・接続/二次碍管固定・接続	021	二次固定　30k	9	3	220	1	OK		000001A	2023/1/10	09:08:00	2023/1/10	09:09:00
004	30kVA	HG0004	5	工程4	一次碍管固定・接続/二次碍管固定・接続	021	二次固定　30k	9	4	220	1	OK		000001A	2023/1/10	09:08:00	2023/1/10	09:09:00
004	30kVA	HG0004	5	工程4	一次碍管固定・接続/二次碍管固定・接続	021	二次固定　30k	9	5	220	1	OK		000001A	2023/1/10	09:08:00	2023/1/10	09:09:00
004	30kVA	HG0004	5	工程4	一次碍管固定・接続/二次碍管固定・接続	021	二次固定　30k	9	6	220	1	OK		000001A	2023/1/10	09:08:00	2023/1/10	09:09:00
004	30kVA	HG0004	5	工程4	一次碍管固定・接続/二次碍管固定・接続	021	二次固定　30k	9	7	220	1	OK		000001A	2023/1/10	09:08:00	2023/1/10	09:09:00
004	30kVA	HG0004	5	工程4	一次碍管固定・接続/二次碍管固定・接続	021	二次固定　30k	9	8	220	1	OK		000001A	2023/1/10	09:08:00	2023/1/10	09:09:00
004	30kVA	HG0004	5	工程4	一次碍管固定・接続/二次碍管固定・接続	021	二次固定　30k	9	9	220	1	OK		000001A	2023/1/10	09:08:00	2023/1/10	09:09:00
004	30kVA	HG0004	6	工程4	一次碍管固定・接続/二次碍管固定・接続	033	二次配線　30k	3	1	11.8	1	OK		000021A	2023/1/10	09:10:00	2023/1/10	09:11:00
004	30kVA	HG0004	6	工程4	一次碍管固定・接続/二次碍管固定・接続	033	二次配線　30k	3	2	11.8	1	OK		000021A	2023/1/10	09:10:00	2023/1/10	09:11:00
004	30kVA	HG0004	6	工程4	一次碍管固定・接続/二次碍管固定・接続	033	二次配線　30k	3	3	11.8	1	OK		000021A	2023/1/10	09:10:00	2023/1/10	09:11:00
004	30kVA	HG0004	7	工程4	一次碍管固定・接続/二次碍管固定・接続	040	一次固定　30k	6	1	150	1	OK		000001A	2023/1/10	09:12:00	2023/1/10	09:13:00
004	30kVA	HG0004	7	工程4	一次碍管固定・接続/二次碍管固定・接続	040	一次固定　30k	6	2	150	1	OK		000001A	2023/1/10	09:12:00	2023/1/10	09:13:00
004	30kVA	HG0004	7	工程4	一次碍管固定・接続/二次碍管固定・接続	040	一次固定　30k	6	3	150	1	OK		000001A	2023/1/10	09:12:00	2023/1/10	09:13:00
004	30kVA	HG0004	7	工程4	一次碍管固定・接続/二次碍管固定・接続	040	一次固定　30k	6	4	150	1	OK		000001A	2023/1/10	09:12:00	2023/1/10	09:13:00
004	30kVA	HG0004	7	工程4	一次碍管固定・接続/二次碍管固定・接続	040	一次固定　30k	6	5	150	1	OK		000001A	2023/1/10	09:12:00	2023/1/10	09:13:00
004	30kVA	HG0004	7	工程4	一次碍管固定・接続/二次碍管固定・接続	040	一次固定　30k	6	6	150	1	OK		000001A	2023/1/10	09:12:00	2023/1/10	09:13:00
004	30kVA	HG0004	8	工程4	一次碍管固定・接続/二次碍管固定・接続	049	一次配線　30k	2	1	150	1	OK		000001A	2023/1/10	09:14:00	2023/1/10	09:15:00
004	30kVA	HG0004	8	工程4	一次碍管固定・接続/二次碍管固定・接続	049	一次配線　30k	2	2	150	1	OK		000001A	2023/1/10	09:14:00	2023/1/10	09:15:00
004	30kVA	HG0004	9	工程5	注油後カバー締め	056	注油後カバー締め　5k～30k	3	1	41.7	1	OK		000027A	2023/1/10	09:16:00	2023/1/10	09:17:00
004	30kVA	HG0004	9	工程5	注油後カバー締め	056	注油後カバー締め　5k～30k	3	2	41.7	1	OK		000027A	2023/1/10	09:16:00	2023/1/10	09:17:00
004	30kVA	HG0004	9	工程5	注油後カバー締め	056	注油後カバー締め　5k～30k	3	3	41.7	1	OK		000027A	2023/1/10	09:16:00	2023/1/10	09:17:00
004	30kVA	HG0004	10	工程6	出荷前カバー締め	059	出荷前カバー締め確認　5k～30k	3	1	41.7	1	OK		000027A	2023/1/10	09:20:00	2023/1/10	09:21:00
004	30kVA	HG0004	10	工程6	出荷前カバー締め	059	出荷前カバー締め確認　5k～30k	3	2	41.7	1	OK		000027A	2023/1/10	09:20:00	2023/1/10	09:21:00
004	30kVA	HG0004	10	工程6	出荷前カバー締め	059	出荷前カバー締め確認　5k～30k	3	3	41.7	1	OK		000027A	2023/1/10	09:20:00	2023/1/10	09:21:00
005	50kVA	HG0005	5	工程4	一次碍管固定・接続/二次碍管固定・接続	022	二次固定①　50k	3	1	39.2	1	OK		000014A	2023/1/10	09:18:00	2023/1/10	09:19:00
005	50kVA	HG0005	5	工程4	一次碍管固定・接続/二次碍管固定・接続	022	二次固定①　50k	3	2	39.2	1	OK		000014A	2023/1/10	09:18:00	2023/1/10	09:19:00
005	50kVA	HG0005	5	工程4	一次碍管固定・接続/二次碍管固定・接続	022	二次固定①　50k	3	3	39.2	1	OK		000014A	2023/1/10	09:18:00	2023/1/10	09:19:00
005	50kVA	HG0005	6	工程4	一次碍管固定・接続/二次碍管固定・接続	025	二次固定②　50k	3	1	78.4	1	OK		000014A	2023/1/10	09:20:00	2023/1/10	09:21:00
005	50kVA	HG0005	6	工程4	一次碍管固定・接続/二次碍管固定・接続	025	二次固定②　50k	3	2	78.4	1	OK		000014A	2023/1/10	09:20:00	2023/1/10	09:21:00
005	50kVA	HG0005	6	工程4	一次碍管固定・接続/二次碍管固定・接続	025	二次固定②　50k	3	3	78.4	1	OK		000014A	2023/1/10	09:20:00	2023/1/10	09:21:00
005	50kVA	HG0005	7	工程4	一次碍管固定・接続/二次碍管固定・接続	034	二次配線　50k	3	1	78.4	1	OK		000024A	2023/1/10	09:22:00	2023/1/10	09:23:00
005	50kVA	HG0005	7	工程4	一次碍管固定・接続/二次碍管固定・接続	034	二次配線　50k	3	2	78.4	1	OK		000024A	2023/1/10	09:22:00	2023/1/10	09:23:00
005	50kVA	HG0005	7	工程4	一次碍管固定・接続/二次碍管固定・接続	034	二次配線　50k	3	3	78.4	1	OK		000024A	2023/1/10	09:22:00	2023/1/10	09:23:00
005	50kVA	HG0005	8	工程4	一次碍管固定・接続/二次碍管固定・接続	041	一次固定　50k	6	1	150	1	OK		000001A	2023/1/10	09:24:00	2023/1/10	09:25:00
005	50kVA	HG0005	8	工程4	一次碍管固定・接続/二次碍管固定・接続	041	一次固定　50k	6	2	150	1	OK		000001A	2023/1/10	09:24:00	2023/1/10	09:25:00
005	50kVA	HG0005	8	工程4	一次碍管固定・接続/二次碍管固定・接続	041	一次固定　50k	6	3	150	1	OK		000001A	2023/1/10	09:24:00	2023/1/10	09:25:00
005	50kVA	HG0005	8	工程4	一次碍管固定・接続/二次碍管固定・接続	041	一次固定　50k	6	4	150	1	OK		000001A	2023/1/10	09:24:00	2023/1/10	09:25:00
005	50kVA	HG0005	8	工程4	一次碍管固定・接続/二次碍管固定・接続	041	一次固定　50k	6	5	150	1	OK		000001A	2023/1/10	09:24:00	2023/1/10	09:25:00
005	50kVA	HG0005	8	工程4	一次碍管固定・接続/二次碍管固定・接続	041	一次固定　50k	6	6	150	1	OK		000001A	2023/1/10	09:24:00	2023/1/10	09:25:00
005	50kVA	HG0005	9	工程4	一次碍管固定・接続/二次碍管固定・接続	050	一次配線　50k	2	1	150	1	OK		000001A	2023/1/10	09:26:00	2023/1/10	09:27:00
005	50kVA	HG0005	9	工程4	一次碍管固定・接続/二次碍管固定・接続	050	一次配線　50k	2	2	150	1	OK		000001A	2023/1/10	09:26:00	2023/1/10	09:27:00
005	50kVA	HG0005	10	工程5	注油後カバー締め	057	注油後カバー締め　50k以上	5	1	41.7	1	OK		000027A	2023/1/10	09:30:00	2023/1/10	09:31:00
005	50kVA	HG0005	10	工程5	注油後カバー締め	057	注油後カバー締め　50k以上	5	2	41.7	1	OK		000027A	2023/1/10	09:30:00	2023/1/10	09:31:00
005	50kVA	HG0005	10	工程5	注油後カバー締め	057	注油後カバー締め　50k以上	5	3	41.7	1	OK		000027A	2023/1/10	09:30:00	2023/1/10	09:31:00
005	50kVA	HG0005	10	工程5	注油後カバー締め	057	注油後カバー締め　50k以上	5	4	41.7	1	OK		000027A	2023/1/10	09:30:00	2023/1/10	09:31:00
005	50kVA	HG0005	10	工程5	注油後カバー締め	057	注油後カバー締め　50k以上	5	5	41.7	1	OK		000027A	2023/1/10	09:30:00	2023/1/10	09:31:00
005	50kVA	HG0005	11	工程6	出荷前カバー締め	060	出荷前カバー締め確認　50k以上	5	1	41.7	1	OK		000027A	2023/1/10	09:31:00	2023/1/10	09:32:00
005	50kVA	HG0005	11	工程6	出荷前カバー締め	060	出荷前カバー締め確認　50k以上	5	2	41.7	1	OK		000027A	2023/1/10	09:31:00	2023/1/10	09:32:00
005	50kVA	HG0005	11	工程6	出荷前カバー締め	060	出荷前カバー締め確認　50k以上	5	3	41.7	1	OK		000027A	2023/1/10	09:31:00	2023/1/10	09:32:00
005	50kVA	HG0005	11	工程6	出荷前カバー締め	060	出荷前カバー締め確認　50k以上	5	4	41.7	1	OK		000027A	2023/1/10	09:31:00	2023/1/10	09:32:00
005	50kVA	HG0005	11	工程6	出荷前カバー締め	060	出荷前カバー締め確認　50k以上	5	5	41.7	1	OK		000027A	2023/1/10	09:31:00	2023/1/10	09:32:00
006	75kVA	HG0006	5	工程4	一次碍管固定・接続/二次碍管固定・接続	023	二次固定①　75k	3	1	39.2	1	OK		000014A	2023/1/10	09:28:00	2023/1/10	09:29:00
006	75kVA	HG0006	5	工程4	一次碍管固定・接続/二次碍管固定・接続	023	二次固定①　75k	3	2	39.2	1	OK		000014A	2023/1/10	09:28:00	2023/1/10	09:29:00
006	75kVA	HG0006	5	工程4	一次碍管固定・接続/二次碍管固定・接続	023	二次固定①　75k	3	3	39.2	1	OK		000014A	2023/1/10	09:28:00	2023/1/10	09:29:00
006	75kVA	HG0006	6	工程4	一次碍管固定・接続/二次碍管固定・接続	026	二次固定②　75k	3	1	78.4	1	OK		000014A	2023/1/10	09:30:00	2023/1/10	09:31:00
006	75kVA	HG0006	6	工程4	一次碍管固定・接続/二次碍管固定・接続	026	二次固定②　75k	3	2	78.4	1	OK		000014A	2023/1/10	09:30:00	2023/1/10	09:31:00
006	75kVA	HG0006	6	工程4	一次碍管固定・接続/二次碍管固定・接続	026	二次固定②　75k	3	3	78.4	1	OK		000014A	2023/1/10	09:30:00	2023/1/10	09:31:00
006	75kVA	HG0006	7	工程4	一次碍管固定・接続/二次碍管固定・接続	035	二次配線　75k	3	1	78.4	1	OK		000024A	2023/1/10	09:32:00	2023/1/10	09:33:00
006	75kVA	HG0006	7	工程4	一次碍管固定・接続/二次碍管固定・接続	035	二次配線　75k	3	2	78.4	1	OK		000024A	2023/1/10	09:32:00	2023/1/10	09:33:00
006	75kVA	HG0006	7	工程4	一次碍管固定・接続/二次碍管固定・接続	035	二次配線　75k	3	3	78.4	1	OK		000024A	2023/1/10	09:32:00	2023/1/10	09:33:00
006	75kVA	HG0006	8	工程4	一次碍管固定・接続/二次碍管固定・接続	042	一次固定　75k	6	1	150	1	OK		000001A	2023/1/10	09:34:00	2023/1/10	09:35:00
006	75kVA	HG0006	8	工程4	一次碍管固定・接続/二次碍管固定・接続	042	一次固定　75k	6	2	150	1	OK		000001A	2023/1/10	09:34:00	2023/1/10	09:35:00
006	75kVA	HG0006	8	工程4	一次碍管固定・接続/二次碍管固定・接続	042	一次固定　75k	6	3	150	1	OK		000001A	2023/1/10	09:34:00	2023/1/10	09:35:00
006	75kVA	HG0006	8	工程4	一次碍管固定・接続/二次碍管固定・接続	042	一次固定　75k	6	4	150	1	OK		000001A	2023/1/10	09:34:00	2023/1/10	09:35:00
006	75kVA	HG0006	8	工程4	一次碍管固定・接続/二次碍管固定・接続	042	一次固定　75k	6	5	150	1	OK		000001A	2023/1/10	09:34:00	2023/1/10	09:35:00
006	75kVA	HG0006	8	工程4	一次碍管固定・接続/二次碍管固定・接続	042	一次固定　75k	6	6	150	1	OK		000001A	2023/1/10	09:34:00	2023/1/10	09:35:00
006	75kVA	HG0006	9	工程4	一次碍管固定・接続/二次碍管固定・接続	051	一次配線　75k	2	1	150	1	OK		000001A	2023/1/10	09:36:00	2023/1/10	09:37:00
006	75kVA	HG0006	9	工程4	一次碍管固定・接続/二次碍管固定・接続	051	一次配線　75k	2	2	150	1	OK		000001A	2023/1/10	09:36:00	2023/1/10	09:37:00
006	75kVA	HG0006	10	工程5	注油後カバー締め	057	注油後カバー締め　50k以上	5	1	41.7	1	OK		000027A	2023/1/10	09:38:00	2023/1/10	09:39:00
006	75kVA	HG0006	10	工程5	注油後カバー締め	057	注油後カバー締め　50k以上	5	2	41.7	1	OK		000027A	2023/1/10	09:38:00	2023/1/10	09:39:00
006	75kVA	HG0006	10	工程5	注油後カバー締め	057	注油後カバー締め　50k以上	5	3	41.7	1	OK		000027A	2023/1/10	09:38:00	2023/1/10	09:39:00
