kshnod2	kshnmd2	sernod2	seqnod2	stnnod2	stnnmd2	buinod2	buinmd2	blttpd2	jikcnd2	tistdd2	tilowd2	tiuppd2	tolmdd2	tolidd2	tolsnd2	unittd2	picfld2	bhnsnd2	bhnifd2	sttcdd2	sstdtd2	ssttmd2	estdtd2	esttmd2
002	10kVA	HG0002	10	工程6	出荷前カバー締め	059	出荷前カバー締め確認　5k～30k	アイボルトM12	3	41.7	39.2	44.2	CEM100N3X15D-BTS	27	000027A	N･m	059_出荷前カバー締め確認 5k～30k.png			2	2023/1/10	08:56:00	2023/1/10	08:57:00
003	20kVA	HG0003	5	工程4	一次碍管固定・接続/二次碍管固定・接続	020	二次固定　20k	鉄ナベM6	9	220	190	260	STC400CN2-BT	1	000001A	cN･m	020_二次固定 20k.png			2	2023/1/10	08:58:00	2023/1/10	08:59:00
003	20kVA	HG0003	6	工程4	一次碍管固定・接続/二次碍管固定・接続	032	二次配線　20k	真鍮ナットM10	3	11.8	9.3	14.3	ACQSPFD25N3	21	000021A	N･m	032_二次配線 20k.png			2	2023/1/10	09:00:00	2023/1/10	09:01:00
003	20kVA	HG0003	7	工程4	一次碍管固定・接続/二次碍管固定・接続	039	一次固定　20k	鉄ナベM6	6	150	120	180	STC400CN2-BT	1	000001A	cN･m	039_一次固定 20k.png			2	2023/1/10	09:02:00	2023/1/10	09:03:00
003	20kVA	HG0003	8	工程4	一次碍管固定・接続/二次碍管固定・接続	048	一次配線　20k	真鍮ナットM5	2	150	120	180	STC400CN2-BT	1	000001A	cN･m	048_一次配線 20k.png			2	2023/1/10	09:04:00	2023/1/10	09:05:00
003	20kVA	HG0003	9	工程5	注油後カバー締め	056	注油後カバー締め　5k～30k	アイボルトM12	3	41.7	39.2	44.2	CEM100N3X15D-BTS	27	000027A	N･m	056_注油後カバー締め 5k～30k.png			2	2023/1/10	09:06:00	2023/1/10	09:07:00
003	20kVA	HG0003	10	工程6	出荷前カバー締め	059	出荷前カバー締め確認　5k～30k	アイボルトM12	3	41.7	39.2	44.2	CEM100N3X15D-BTS	27	000027A	N･m	059_出荷前カバー締め確認 5k～30k.png			2	2023/1/10	09:10:00	2023/1/10	09:11:00
004	30kVA	HG0004	5	工程4	一次碍管固定・接続/二次碍管固定・接続	021	二次固定　30k	鉄ナベM6	9	220	190	260	STC400CN2-BT	1	000001A	cN･m	021_二次固定 30k.png			2	2023/1/10	09:08:00	2023/1/10	09:09:00
004	30kVA	HG0004	6	工程4	一次碍管固定・接続/二次碍管固定・接続	033	二次配線　30k	真鍮ナットM10	3	11.8	9.3	14.3	ACQSPFD25N3	21	000021A	N･m	033_二次配線 30k.png			2	2023/1/10	09:10:00	2023/1/10	09:11:00
004	30kVA	HG0004	7	工程4	一次碍管固定・接続/二次碍管固定・接続	040	一次固定　30k	鉄ナベM6	6	150	120	180	STC400CN2-BT	1	000001A	cN･m	040_一次固定 30k.png			2	2023/1/10	09:12:00	2023/1/10	09:13:00
004	30kVA	HG0004	8	工程4	一次碍管固定・接続/二次碍管固定・接続	049	一次配線　30k	真鍮ナットM5	2	150	120	180	STC400CN2-BT	1	000001A	cN･m	049_一次配線 30k.png			2	2023/1/10	09:14:00	2023/1/10	09:15:00
004	30kVA	HG0004	9	工程5	注油後カバー締め	056	注油後カバー締め　5k～30k	アイボルトM12	3	41.7	39.2	44.2	CEM100N3X15D-BTS	27	000027A	N･m	056_注油後カバー締め 5k～30k.png			2	2023/1/10	09:16:00	2023/1/10	09:17:00
004	30kVA	HG0004	10	工程6	出荷前カバー締め	059	出荷前カバー締め確認　5k～30k	アイボルトM12	3	41.7	39.2	44.2	CEM100N3X15D-BTS	27	000027A	N･m	059_出荷前カバー締め確認 5k～30k.png			2	2023/1/10	09:20:00	2023/1/10	09:21:00
005	50kVA	HG0005	5	工程4	一次碍管固定・接続/二次碍管固定・接続	022	二次固定①　50k	真鍮ナットM20	3	39.2	34.3	44.1	CSPFDD140N3X15D	14	000014A	N･m	022_二次固定① 50k.png			2	2023/1/10	09:18:00	2023/1/10	09:19:00
005	50kVA	HG0005	6	工程4	一次碍管固定・接続/二次碍管固定・接続	025	二次固定②　50k	真鍮ナットM20	3	78.4	73.5	83.3	CSPFDD140N3X15D	14	000014A	N･m	025_二次固定② 50k.png			2	2023/1/10	09:20:00	2023/1/10	09:21:00
005	50kVA	HG0005	7	工程4	一次碍管固定・接続/二次碍管固定・接続	034	二次配線　50k	真鍮ナットM20	3	78.4	73.5	83.3	ACQSPFD100N3	24	000024A	N･m	034_二次配線 50k.png			2	2023/1/10	09:22:00	2023/1/10	09:23:00
005	50kVA	HG0005	8	工程4	一次碍管固定・接続/二次碍管固定・接続	041	一次固定　50k	鉄ナベM6	6	150	120	180	STC400CN2-BT	1	000001A	cN･m	041_一次固定 50k.png			2	2023/1/10	09:24:00	2023/1/10	09:25:00
005	50kVA	HG0005	9	工程4	一次碍管固定・接続/二次碍管固定・接続	050	一次配線　50k	真鍮ナットM5	2	150	120	180	STC400CN2-BT	1	000001A	cN･m	050_一次配線 50k.png			2	2023/1/10	09:26:00	2023/1/10	09:27:00
005	50kVA	HG0005	10	工程5	注油後カバー締め	057	注油後カバー締め　50k以上	アイボルトM12	5	41.7	39.2	44.2	CEM100N3X15D-BTS	27	000027A	N･m	057_注油後カバー締め 50k～100k.png			2	2023/1/10	09:30:00	2023/1/10	09:31:00
005	50kVA	HG0005	11	工程6	出荷前カバー締め	060	出荷前カバー締め確認　50k以上	アイボルトM12	5	41.7	39.2	44.2	CEM100N3X15D-BTS	27	000027A	N･m	060_出荷前カバー締め確認 50k～100k.png			2	2023/1/10	09:31:00	2023/1/10	09:32:00
006	75kVA	HG0006	5	工程4	一次碍管固定・接続/二次碍管固定・接続	023	二次固定①　75k	真鍮ナットM20	3	39.2	34.3	44.1	CSPFDD140N3X15D	14	000014A	N･m	023_二次固定① 75k.png			2	2023/1/10	09:28:00	2023/1/10	09:29:00
006	75kVA	HG0006	6	工程4	一次碍管固定・接続/二次碍管固定・接続	026	二次固定②　75k	真鍮ナットM20	3	78.4	73.5	83.3	CSPFDD140N3X15D	14	000014A	N･m	026_二次固定② 75k.png			2	2023/1/10	09:30:00	2023/1/10	09:31:00
006	75kVA	HG0006	7	工程4	一次碍管固定・接続/二次碍管固定・接続	035	二次配線　75k	真鍮ナットM20	3	78.4	73.5	83.3	ACQSPFD100N3	24	000024A	N･m	035_二次配線 75k.png			2	2023/1/10	09:32:00	2023/1/10	09:33:00
006	75kVA	HG0006	8	工程4	一次碍管固定・接続/二次碍管固定・接続	042	一次固定　75k	鉄ナベM6	6	150	120	180	STC400CN2-BT	1	000001A	cN･m	042_一次固定 75k.png			2	2023/1/10	09:34:00	2023/1/10	09:35:00
006	75kVA	HG0006	9	工程4	一次碍管固定・接続/二次碍管固定・接続	051	一次配線　75k	真鍮ナットM5	2	150	120	180	STC400CN2-BT	1	000001A	cN･m	051_一次配線 75k.png			2	2023/1/10	09:36:00	2023/1/10	09:37:00
006	75kVA	HG0006	10	工程5	注油後カバー締め	057	注油後カバー締め　50k以上	アイボルトM12	5	41.7	39.2	44.2	CEM100N3X15D-BTS	27	000027A	N･m	057_注油後カバー締め 50k～100k.png			2	2023/1/10	09:38:00	2023/1/10	09:39:00
006	75kVA	HG0006	11	工程6	出荷前カバー締め	060	出荷前カバー締め確認　50k以上	アイボルトM12	5	41.7	39.2	44.2	CEM100N3X15D-BTS	27	000027A	N･m	060_出荷前カバー締め確認 50k～100k.png			2	2023/1/10	09:40:00	2023/1/10	09:41:00
007	100kVA	HG0007	5	工程4	一次碍管固定・接続/二次碍管固定・接続	021	二次固定①　100k	真鍮ナットM20	3	39.2	34.3	44.1	CSPFDD140N3X15D	14	000014A	N･m	024_二次固定① 100k.png			2	2023/1/10	09:38:00	2023/1/10	09:39:00
007	100kVA	HG0007	6	工程4	一次碍管固定・接続/二次碍管固定・接続	012	二次固定②　100k	真鍮ナットM20	3	78.4	73.5	83.3	CSPFDD140N3X15D	14	000014A	N･m	027_二次固定② 100k.png			2	2023/1/10	09:40:00	2023/1/10	09:41:00
007	100kVA	HG0007	7	工程4	一次碍管固定・接続/二次碍管固定・接続	036	二次配線　100k	真鍮ナットM20	3	78.4	73.5	83.3	ACQSPFD100N3	24	000024A	N･m	036_二次配線 100k.png			2	2023/1/10	09:42:00	2023/1/10	09:43:00
007	100kVA	HG0007	8	工程4	一次碍管固定・接続/二次碍管固定・接続	043	一次固定　100k	鉄ナベM6	6	150	120	180	STC400CN2-BT	1	000001A	cN･m	043_一次固定 100k.png			2	2023/1/10	09:44:00	2023/1/10	09:45:00
007	100kVA	HG0007	9	工程4	一次碍管固定・接続/二次碍管固定・接続	052	一次配線　100k	真鍮ナットM5	2	150	120	180	STC400CN2-BT	1	000001A	cN･m	052_一次配線 100k.png			2	2023/1/10	09:50:00	2023/1/10	09:51:00
007	100kVA	HG0007	10	工程5	注油後カバー締め	057	注油後カバー締め　50k以上	アイボルトM12	5	41.7	39.2	44.2	CEM100N3X15D-BTS	27	000027A	N･m	057_注油後カバー締め 50k～100k.png			2	2023/1/10	09:52:00	2023/1/10	09:53:00
007	100kVA	HG0007	11	工程6	出荷前カバー締め	060	出荷前カバー締め確認　50k以上	アイボルトM12	5	41.7	39.2	44.2	CEM100N3X15D-BTS	27	000027A	N･m	060_出荷前カバー締め確認 50k～100k.png			2	2023/1/10	09:53:00	2023/1/10	09:54:00
008	制5kVA	HG0008	1	工程1	二次固定	028	二次固定　制5k	真鍮ナットM5	4	200	160	240	STC400CN2-BT	1	000001A	cN･m	028_二次配線 制5k.png			2	2023/1/10	08:00:00	2023/1/10	08:01:00
008	制5kVA	HG0008	5	工程4	一次碍管固定・接続/二次碍管固定・接続	028	二次配線　制5k	真鍮ナットM6	4	3.9	3.4	4.4	ACQSPFD10N3	19	000019A	N･m	028_二次配線 制5k.png			2	2023/1/10	09:46:00	2023/1/10	09:47:00
008	制5kVA	HG0008	6	工程4	一次碍管固定・接続/二次碍管固定・接続	044	一次固定　制5k	鉄ナベM6	6	150	120	180	STC400CN2-BT	1	000001A	cN･m	044_一次固定 制5k.png			2	2023/1/10	09:48:00	2023/1/10	09:49:00
008	制5kVA	HG0008	7	工程4	一次碍管固定・接続/二次碍管固定・接続	053	一次配線　制5k	真鍮ナットM5	2	150	120	180	STC400CN2-BT	1	000001A	cN･m	053_一次配線 制5k.png			2	2023/1/10	09:50:00	2023/1/10	09:51:00
008	制5kVA	HG0008	8	工程5	注油後カバー締め	055	注油後カバー締め　制5k・制8.4k	アイボルトM12	2	41.7	39.2	44.2	CEM100N3X15D-BTS	27	000027A	N･m	055_注油後カバー締め 制5k・制8.4k.png			2	2023/1/10	09:52:00	2023/1/10	09:53:00
008	制5kVA	HG0008	9	工程6	出荷前カバー締め	058	出荷前カバー締め確認　制5k・制8.4k	アイボルトM12	2	41.7	39.2	44.2	CEM100N3X15D-BTS	27	000027A	N･m	058_出荷前カバー締め確認 制5k・制8.4k.png			2	2023/1/10	09:54:00	2023/1/10	09:55:00
009	制8.4kVA	HG0009	1	工程1	二次固定	02	二次固定　制8.4k	真鍮ナットM5	4	200	160	240	STC400CN2-BT	1	000001A	cN･m	002_二次固定.png			2	2023/1/10	08:00:00	2023/1/10	08:01:00
009	制8.4kVA	HG0009	5	工程4	一次碍管固定・接続/二次碍管固定・接続	029	二次配線　制8.4k	真鍮ナットM6	3	3.9	3.4	4.4	ACQSPFD10N3	19	000019A	N･m	029_二次配線 制8.4k.png			2	2023/1/10	09:52:00	2023/1/10	09:53:00
009	制8.4kVA	HG0009	6	工程4	一次碍管固定・接続/二次碍管固定・接続	045	一次固定　制8.4k	鉄ナベM6	6	150	120	180	STC400CN2-BT	1	000001A	cN･m	045_一次固定 制8.4k.png			2	2023/1/10	09:54:00	2023/1/10	09:55:00
009	制8.4kVA	HG0009	7	工程4	一次碍管固定・接続/二次碍管固定・接続	054	一次配線　制8.4k	真鍮ナットM5	2	150	120	180	STC400CN2-BT	1	000001A	cN･m	054_一次配線 制8.4k.png			2	2023/1/10	09:56:00	2023/1/10	09:57:00
009	制8.4kVA	HG0009	8	工程4	一次碍管固定・接続/二次碍管固定・接続	055	注油後カバー締め　制5k・制8.4k	アイボルトM12	2	41.7	39.2	44.2	CEM100N3X15D-BTS	27	000027A	N･m	055_注油後カバー締め 制5k・制8.4k.png			2	2023/1/10	09:58:00	2023/1/10	09:59:00
009	制8.4kVA	HG0009	9	工程4	一次碍管固定・接続/二次碍管固定・接続	058	出荷前カバー締め確認　制5k・制8.4k	アイボルトM12	2	41.7	39.2	44.2	CEM100N3X15D-BTS	27	000027A	N･m	058_出荷前カバー締め確認 制5k・制8.4k.png			2	2023/1/10	10:00:00	2023/1/10	10:01:00
